Word;Translation;Sentence;SentenceTranslation
bananowy;banana;NO_TR;NO_TR
pasków;stripes;NO_TR;NO_TR
porzygam;I will puke;NO_TR;NO_TR
wchodzącego;entering;NO_TR;NO_TR
przewinienia;misconduct;NO_TR;NO_TR
przyłapią;they will catch;NO_TR;NO_TR
prześladowania;persecution;NO_TR;NO_TR
uprowadzenie;abduction;NO_TR;NO_TR
duquesne;duquesne;NO_TR;NO_TR
roboczej;working;NO_TR;NO_TR
traktowano;treated;NO_TR;NO_TR
caracas;caracas;NO_TR;NO_TR
rozbitego;broken;NO_TR;NO_TR
clary;clary;NO_TR;NO_TR
babs;babs;NO_TR;NO_TR
szarp;jerk;NO_TR;NO_TR
action;action;NO_TR;NO_TR
zgadzał;agreed;NO_TR;NO_TR
wiktorze;victor;NO_TR;NO_TR
dźgnęła;she stabbed;NO_TR;NO_TR
ogien;fire;NO_TR;NO_TR
wszyskie;all;NO_TR;NO_TR
mikro;micro;NO_TR;NO_TR
piechocie;infantry;NO_TR;NO_TR
dotyczyły;concerned;NO_TR;NO_TR
psycho;psycho;NO_TR;NO_TR
puściły;let go;NO_TR;NO_TR
wjechała;drove in;NO_TR;NO_TR
mineło;passed;NO_TR;NO_TR
ehh;eh;NO_TR;NO_TR
dziwolągi;freaks;NO_TR;NO_TR
kołkiem;a stake;NO_TR;NO_TR
plasterki;slices;NO_TR;NO_TR
kierownictwem;management;NO_TR;NO_TR
poinformowałem;I informed;NO_TR;NO_TR
rebelia;rebellion;NO_TR;NO_TR
pozbywam;I'm getting rid of;NO_TR;NO_TR
systemami;systems;NO_TR;NO_TR
mleczny;milk;NO_TR;NO_TR
odrzucaj;reject;NO_TR;NO_TR
muskuły;muscles;NO_TR;NO_TR
podzielcie;share;NO_TR;NO_TR
wystawiłaś;you put up;NO_TR;NO_TR
lodowiec;Glacier;NO_TR;NO_TR
fanatycy;fanatics;NO_TR;NO_TR
niepełnosprawny;disabled;NO_TR;NO_TR
krzywe;curves;NO_TR;NO_TR
dominika;Dominica;NO_TR;NO_TR
vincentem;vincent;NO_TR;NO_TR
białasy;white;NO_TR;NO_TR
japończyk;Japanese;NO_TR;NO_TR
rękawicy;glove;NO_TR;NO_TR
poszukiwanym;wanted;NO_TR;NO_TR
tworzone;created;NO_TR;NO_TR
orgazmy;orgasms;NO_TR;NO_TR
ustawie;the act;NO_TR;NO_TR
nagrali;they recorded;NO_TR;NO_TR
zwolniło;slowed down;NO_TR;NO_TR
westa;west;NO_TR;NO_TR
doll;doll;NO_TR;NO_TR
sekundą;second;NO_TR;NO_TR
grożę;I threaten;NO_TR;NO_TR
kapusia;snitch;NO_TR;NO_TR
nabrałam;I tricked;NO_TR;NO_TR
różu;blush;NO_TR;NO_TR
zakuć;to cuff;NO_TR;NO_TR
gadatliwy;talkative;NO_TR;NO_TR
podróżnicy;travelers;NO_TR;NO_TR
prawiczek;Virgin;NO_TR;NO_TR
działce;plot;NO_TR;NO_TR
jacks;jacks;NO_TR;NO_TR
ustawiła;set;NO_TR;NO_TR
dojeżdżamy;we arrive;NO_TR;NO_TR
przedwczesny;premature;NO_TR;NO_TR
valenti;valenti;NO_TR;NO_TR
łańcuchami;chains;NO_TR;NO_TR
eyre;eyre;NO_TR;NO_TR
tknę;touch;NO_TR;NO_TR
dodasz;you will add;NO_TR;NO_TR
kombinuj;combine;NO_TR;NO_TR
seward;seward;NO_TR;NO_TR
dziękują;thank you;NO_TR;NO_TR
przykuta;chained;NO_TR;NO_TR
kevinie;kevin;NO_TR;NO_TR
błękitnym;blue;NO_TR;NO_TR
oświadczyłeś;you declared;NO_TR;NO_TR
powinnien;should;NO_TR;NO_TR
przywozi;he brings;NO_TR;NO_TR
emeryturą;pension;NO_TR;NO_TR
dokończmy;let's finish;NO_TR;NO_TR
gulaszu;goulash;NO_TR;NO_TR
przejawia;manifests;NO_TR;NO_TR
sternik;helmsman;NO_TR;NO_TR
posągu;statue;NO_TR;NO_TR
pamiętałaś;you remembered;NO_TR;NO_TR
tannera;tanner;NO_TR;NO_TR
niebezpiecznymi;dangerous;NO_TR;NO_TR
fatima;fatima;NO_TR;NO_TR
komendzie;command;NO_TR;NO_TR
błyskawicy;lightning;NO_TR;NO_TR
kłamiemy;we lie;NO_TR;NO_TR
zgrzeszyłam;I have sinned;NO_TR;NO_TR
petersen;Petersen;NO_TR;NO_TR
jutrze;tomorrow;NO_TR;NO_TR
krocie;a lot;NO_TR;NO_TR
nawigator;navigator;NO_TR;NO_TR
suflet;souffle;NO_TR;NO_TR
pociskami;bullets;NO_TR;NO_TR
zabezpieczymy;we will secure;NO_TR;NO_TR
sashy;sasha;NO_TR;NO_TR
etaty;jobs;NO_TR;NO_TR
ryzykuj;take a risk;NO_TR;NO_TR
wymawiasz;you pronounce;NO_TR;NO_TR
marguerite;marguerite;NO_TR;NO_TR
kursów;courses;NO_TR;NO_TR
jądrowy;nuclear;NO_TR;NO_TR
naruszeniem;violation;NO_TR;NO_TR
chiu;chihua;NO_TR;NO_TR
pryszcze;pimples;NO_TR;NO_TR
matury;graduation;NO_TR;NO_TR
wymyślne;fancy;NO_TR;NO_TR
szczęściarza;lucky guy;NO_TR;NO_TR
bolał;hurt;NO_TR;NO_TR
zastraszanie;bullying;NO_TR;NO_TR
yakuzy;yakuza;NO_TR;NO_TR
upiekę;I will bake;NO_TR;NO_TR
zawracasz;you turn back;NO_TR;NO_TR
kompasu;compass;NO_TR;NO_TR
woodcock;woodcock;NO_TR;NO_TR
kąpiele;baths;NO_TR;NO_TR
belize;belize;NO_TR;NO_TR
lose;fate;NO_TR;NO_TR
zabawniejsze;funnier;NO_TR;NO_TR
joanny;joanna;NO_TR;NO_TR
podpisywał;was signing;NO_TR;NO_TR
powierzono;entrusted;NO_TR;NO_TR
jędzą;they eat;NO_TR;NO_TR
młynie;mill;NO_TR;NO_TR
peaches;peaches;NO_TR;NO_TR
pocztowa;post office;NO_TR;NO_TR
exeter;Exeter;NO_TR;NO_TR
tuz;next door;NO_TR;NO_TR
kiryu;kiryu;NO_TR;NO_TR
bystrą;smart;NO_TR;NO_TR
ujrzymy;we will see;NO_TR;NO_TR
runie;fleece;NO_TR;NO_TR
guardo;guardo;NO_TR;NO_TR
podsunął;he suggested;NO_TR;NO_TR
kolumba;columbus;NO_TR;NO_TR
nazistą;Nazi;NO_TR;NO_TR
polubiłeś;you liked;NO_TR;NO_TR
shire;shire;NO_TR;NO_TR
nimfy;nymphs;NO_TR;NO_TR
żywnością;food;NO_TR;NO_TR
zwariowanym;crazy;NO_TR;NO_TR
wzmocnione;reinforced;NO_TR;NO_TR
skurczy;will shrink;NO_TR;NO_TR
skrajnie;extremely;NO_TR;NO_TR
atomów;atoms;NO_TR;NO_TR
budżetem;budget;NO_TR;NO_TR
zjednoczy;will unite;NO_TR;NO_TR
wynegocjować;negotiate;NO_TR;NO_TR
pulkowniku;colonel;NO_TR;NO_TR
janeiro;janeira;NO_TR;NO_TR
droidów;droids;NO_TR;NO_TR
zakłócają;disturb;NO_TR;NO_TR
startowym;starting;NO_TR;NO_TR
kotwica;anchor;NO_TR;NO_TR
renny;renny;NO_TR;NO_TR
lodowisko;ice rink;NO_TR;NO_TR
omamy;hallucinations;NO_TR;NO_TR
pnia;trunk;NO_TR;NO_TR
najbliżsi;closest;NO_TR;NO_TR
najszczęśliwszą;happiest;NO_TR;NO_TR
niewydolności;failure;NO_TR;NO_TR
zapieczętowane;sealed;NO_TR;NO_TR
stłuc;break;NO_TR;NO_TR
greendale;greendale;NO_TR;NO_TR
urzeczywistnić;materialize;NO_TR;NO_TR
cristal;crystal;NO_TR;NO_TR
pierworodnego;firstborn;NO_TR;NO_TR
doceniałem;I appreciated;NO_TR;NO_TR
areny;arenas;NO_TR;NO_TR
wpisałem;I typed;NO_TR;NO_TR
koronerem;coroner;NO_TR;NO_TR
wzmocnienia;reinforcements;NO_TR;NO_TR
rozepnij;unzip;NO_TR;NO_TR
wskazywał;pointed out;NO_TR;NO_TR
usiedli;they sat down;NO_TR;NO_TR
sztuczkami;tricks;NO_TR;NO_TR
olbrzymich;enormous;NO_TR;NO_TR
zakręciło;spun;NO_TR;NO_TR
łóżeczku;cot;NO_TR;NO_TR
przypływu;high tide;NO_TR;NO_TR
moloch;Moloch;NO_TR;NO_TR
dostrzegają;they notice;NO_TR;NO_TR
ellisa;ellisa;NO_TR;NO_TR
bly;bly;NO_TR;NO_TR
fordem;ford;NO_TR;NO_TR
zajęto;taken;NO_TR;NO_TR
pieprzeniem;fucking;NO_TR;NO_TR
środkowa;median;NO_TR;NO_TR
odłoży;will put it down;NO_TR;NO_TR
próbowałyśmy;we tried;NO_TR;NO_TR
gazowych;gas;NO_TR;NO_TR
yagyu;yagyu;NO_TR;NO_TR
laktozy;lactose;NO_TR;NO_TR
pogodowe;weather;NO_TR;NO_TR
przeprosiła;she apologized;NO_TR;NO_TR
kapsuł;capsules;NO_TR;NO_TR
impact;impact;NO_TR;NO_TR
chinami;china;NO_TR;NO_TR
wystrzelony;fired;NO_TR;NO_TR
naskórek;epidermis;NO_TR;NO_TR
kofeina;caffeine;NO_TR;NO_TR
przystać;fit;NO_TR;NO_TR
interpretować;to interpret;NO_TR;NO_TR
przekładzie;translation;NO_TR;NO_TR
poleciła;she recommended;NO_TR;NO_TR
zastrzeliłaś;you shot;NO_TR;NO_TR
chodziliście;you walked;NO_TR;NO_TR
przemieniła;she transformed;NO_TR;NO_TR
odchyl;tilt;NO_TR;NO_TR
twierdziłem;I claimed;NO_TR;NO_TR
zbierali;they collected;NO_TR;NO_TR
wysyłali;they sent;NO_TR;NO_TR
stulecie;century;NO_TR;NO_TR
sekunde;second;NO_TR;NO_TR
sznurka;twine;NO_TR;NO_TR
określoną;specified;NO_TR;NO_TR
porozrzucane;scattered;NO_TR;NO_TR
etc;etc;NO_TR;NO_TR
zlokalizowany;located;NO_TR;NO_TR
gwałtem;by rape;NO_TR;NO_TR
szympans;chimpanzee;NO_TR;NO_TR
aktywowane;activated;NO_TR;NO_TR
szatę;robe;NO_TR;NO_TR
okłamywała;she lied;NO_TR;NO_TR
garcii;garcia;NO_TR;NO_TR
platon;plato;NO_TR;NO_TR
wezwani;summoned;NO_TR;NO_TR
sanford;Sanford;NO_TR;NO_TR
pozwem;a lawsuit;NO_TR;NO_TR
oznajmił;he announced;NO_TR;NO_TR
lizaki;Lollipops;NO_TR;NO_TR
przywiązuje;attaches;NO_TR;NO_TR
wyskoczysz;you will jump;NO_TR;NO_TR
emerytalny;retirement;NO_TR;NO_TR
nadświetlnej;superluminal;NO_TR;NO_TR
smoczych;dragon;NO_TR;NO_TR
jarmisz;you yoke;NO_TR;NO_TR
uszczęśliwiać;make happy;NO_TR;NO_TR
podatkowym;tax;NO_TR;NO_TR
zip;zip;NO_TR;NO_TR
wyjęłam;I took it out;NO_TR;NO_TR
evanem;evan;NO_TR;NO_TR
elder;elder;NO_TR;NO_TR
wieziemy;we are carrying;NO_TR;NO_TR
zaniki;dropouts;NO_TR;NO_TR
zabezpieczyliśmy;we secured;NO_TR;NO_TR
fuzję;merger;NO_TR;NO_TR
kostiumach;costumes;NO_TR;NO_TR
zaciera;blurs;NO_TR;NO_TR
ciągłych;continuous;NO_TR;NO_TR
andromedo;andromeda;NO_TR;NO_TR
przypiąć;pin;NO_TR;NO_TR
kardasjanie;cardassians;NO_TR;NO_TR
poskutkowało;it worked;NO_TR;NO_TR
kapelą;band;NO_TR;NO_TR
wynajmij;rent;NO_TR;NO_TR
hawthorne;hawthorn;NO_TR;NO_TR
częstotliwościach;frequencies;NO_TR;NO_TR
pet;pet;NO_TR;NO_TR
leżymy;we are lying;NO_TR;NO_TR
ofensywy;offensive;NO_TR;NO_TR
kolekcjoner;collector;NO_TR;NO_TR
moralnej;moral;NO_TR;NO_TR
preferuje;prefers;NO_TR;NO_TR
startowe;starting;NO_TR;NO_TR
bijące;beating;NO_TR;NO_TR
juliusza;Julius;NO_TR;NO_TR
zleciłem;I ordered;NO_TR;NO_TR
lucio;lucio;NO_TR;NO_TR
kamienny;stone;NO_TR;NO_TR
hombre;hombre;NO_TR;NO_TR
złotymi;gold;NO_TR;NO_TR
rozrasta;grows;NO_TR;NO_TR
sprawiedliwego;fair;NO_TR;NO_TR
amour;amour;NO_TR;NO_TR
zainteresowaniem;interest;NO_TR;NO_TR
montażu;assembly;NO_TR;NO_TR
tłuszczem;fat;NO_TR;NO_TR
zablokowała;blocked;NO_TR;NO_TR
odbierając;answering;NO_TR;NO_TR
nadzwyczajną;extraordinary;NO_TR;NO_TR
orgii;orgy;NO_TR;NO_TR
błysku;flash;NO_TR;NO_TR
socjopatą;a sociopath;NO_TR;NO_TR
wyrzuciliśmy;we threw away;NO_TR;NO_TR
bulla;bull;NO_TR;NO_TR
trisha;trisha;NO_TR;NO_TR
melina;den;NO_TR;NO_TR
szorstkie;rough;NO_TR;NO_TR
szczerego;sincere;NO_TR;NO_TR
zginęłam;I died;NO_TR;NO_TR
kolesiom;dudes;NO_TR;NO_TR
zwolnijcie;slow down;NO_TR;NO_TR
zbędnego;redundant;NO_TR;NO_TR
przynosiła;she brought;NO_TR;NO_TR
łowi;fishing;NO_TR;NO_TR
śmiertelnik;mortal;NO_TR;NO_TR
dialekt;dialect;NO_TR;NO_TR
reprezentant;representative;NO_TR;NO_TR
wylizać;sleek;NO_TR;NO_TR
pociechy;consolation;NO_TR;NO_TR
poganie;pagans;NO_TR;NO_TR
stojące;standing;NO_TR;NO_TR
gowno;shit;NO_TR;NO_TR
dolewkę;refill;NO_TR;NO_TR
naprawiasz;you fix;NO_TR;NO_TR
marzycielem;a dreamer;NO_TR;NO_TR
kristy;kristy;NO_TR;NO_TR
spytali;they asked;NO_TR;NO_TR
barn;barn;NO_TR;NO_TR
policzkach;cheeks;NO_TR;NO_TR
podołasz;you can handle it;NO_TR;NO_TR
ostrzegła;she warned;NO_TR;NO_TR
hellera;hellera;NO_TR;NO_TR
lomax;lomax;NO_TR;NO_TR
zaparzyć;brew;NO_TR;NO_TR
wywołały;caused;NO_TR;NO_TR
czekoladowych;chocolate;NO_TR;NO_TR
druk;printing;NO_TR;NO_TR
alby;alb;NO_TR;NO_TR
najmądrzejszą;the smartest;NO_TR;NO_TR
pomodlę;I will pray;NO_TR;NO_TR
malutkiej;tiny;NO_TR;NO_TR
niebiański;heavenly;NO_TR;NO_TR
grabarz;gravedigger;NO_TR;NO_TR
kupienie;buying;NO_TR;NO_TR
przypłynie;will come;NO_TR;NO_TR
parafia;parish;NO_TR;NO_TR
ciepłem;with warmth;NO_TR;NO_TR
płukania;rinsing;NO_TR;NO_TR
sibley;sibley;NO_TR;NO_TR
lotniczym;airline;NO_TR;NO_TR
bugsy;bugsy;NO_TR;NO_TR
wbudowany;built-in;NO_TR;NO_TR
pracownica;worker;NO_TR;NO_TR
crenshaw;crenshaw;NO_TR;NO_TR
pokarmem;food;NO_TR;NO_TR
wesprze;will support;NO_TR;NO_TR
badała;researched;NO_TR;NO_TR
hitlerem;hitler;NO_TR;NO_TR
lohan;lohan;NO_TR;NO_TR
szkielety;skeletons;NO_TR;NO_TR
spieszno;hurry;NO_TR;NO_TR
samolubną;selfish;NO_TR;NO_TR
bridges;bridges;NO_TR;NO_TR
kolekcjonuje;collects;NO_TR;NO_TR
wiertła;drills;NO_TR;NO_TR
filipinach;Philippines;NO_TR;NO_TR
przelecisz;you will fuck;NO_TR;NO_TR
zjawiskiem;phenomenon;NO_TR;NO_TR
busa;bus;NO_TR;NO_TR
muzea;museums;NO_TR;NO_TR
tov;tov;NO_TR;NO_TR
kałuża;puddle;NO_TR;NO_TR
sutherland;sutherland;NO_TR;NO_TR
dywersja;diversion;NO_TR;NO_TR
dokonaj;make;NO_TR;NO_TR
zapałem;zeal;NO_TR;NO_TR
jedynce;one;NO_TR;NO_TR
negocjował;negotiated;NO_TR;NO_TR
podlizywać;suck up;NO_TR;NO_TR
kraków;Cracow;NO_TR;NO_TR
slang;slang;NO_TR;NO_TR
nugent;nugent;NO_TR;NO_TR
zarodku;germ;NO_TR;NO_TR
pootie;poo;NO_TR;NO_TR
sprytnym;clever;NO_TR;NO_TR
potraktowałem;I treated;NO_TR;NO_TR
wykorzystywali;they used;NO_TR;NO_TR
podpaleń;arson;NO_TR;NO_TR
półkach;shelves;NO_TR;NO_TR
słupek;post;NO_TR;NO_TR
zew;call;NO_TR;NO_TR
zapamiętałaś;you remembered;NO_TR;NO_TR
koszykówce;basketball;NO_TR;NO_TR
sług;servants;NO_TR;NO_TR
krzywdzą;they hurt;NO_TR;NO_TR
williamson;williamson;NO_TR;NO_TR
odwrotny;opposite;NO_TR;NO_TR
opalenizna;tan;NO_TR;NO_TR
odmawiaj;refuse;NO_TR;NO_TR
rozdają;they give away;NO_TR;NO_TR
złóżmy;let's fold;NO_TR;NO_TR
pewniej;more confident;NO_TR;NO_TR
pokaźną;considerable;NO_TR;NO_TR
machiny;machines;NO_TR;NO_TR
mutacje;mutations;NO_TR;NO_TR
ścieki;sewage;NO_TR;NO_TR
kulturalny;cultural;NO_TR;NO_TR
włochami;italians;NO_TR;NO_TR
muszkę;bow tie;NO_TR;NO_TR
sprzątałem;I was cleaning;NO_TR;NO_TR
pałka;stick;NO_TR;NO_TR
rozczarował;disappointed;NO_TR;NO_TR
wmawiać;persuade;NO_TR;NO_TR
poradziłam;I advised;NO_TR;NO_TR
namierzyła;tracked;NO_TR;NO_TR
terrorystyczną;terrorist;NO_TR;NO_TR
hiroshi;hiroshi;NO_TR;NO_TR
caseya;caseya;NO_TR;NO_TR
poćwiczymy;we'll practice;NO_TR;NO_TR
pistolecie;pistol;NO_TR;NO_TR
niepco;niepco;NO_TR;NO_TR
robinsona;robinson;NO_TR;NO_TR
usposobienie;disposition;NO_TR;NO_TR
skuterze;scooter;NO_TR;NO_TR
sypianie;sleeping;NO_TR;NO_TR
łapania;catching;NO_TR;NO_TR
zwabił;lured;NO_TR;NO_TR
ostrymi;sharp;NO_TR;NO_TR
szyld;signboard;NO_TR;NO_TR
łotry;rogues;NO_TR;NO_TR
kosmitę;an alien;NO_TR;NO_TR
metalowego;metal;NO_TR;NO_TR
pochodni;torch;NO_TR;NO_TR
spędziliście;you spent;NO_TR;NO_TR
ligą;league;NO_TR;NO_TR
jadem;venom;NO_TR;NO_TR
hebrajsku;in Hebrew;NO_TR;NO_TR
cesarska;imperial;NO_TR;NO_TR
nieugięty;adamant;NO_TR;NO_TR
sowietów;soviets;NO_TR;NO_TR
kablem;cable;NO_TR;NO_TR
zakończą;will finish;NO_TR;NO_TR
balonik;balloon;NO_TR;NO_TR
objawem;symptom;NO_TR;NO_TR
przywidzenia;delusion;NO_TR;NO_TR
oblężenia;siege;NO_TR;NO_TR
gennaro;gennaro;NO_TR;NO_TR
rabinem;a rabbi;NO_TR;NO_TR
rówieśników;peers;NO_TR;NO_TR
wciągnęłam;I inhaled;NO_TR;NO_TR
trenowałeś;you trained;NO_TR;NO_TR
dru;second;NO_TR;NO_TR
zaskakiwać;surprise;NO_TR;NO_TR
winowajcom;the culprits;NO_TR;NO_TR
weterani;veterans;NO_TR;NO_TR
shang;hang;NO_TR;NO_TR
saula;saul;NO_TR;NO_TR
zadedykować;dedicate;NO_TR;NO_TR
przypłynął;arrived;NO_TR;NO_TR
spieprzę;I'll screw up;NO_TR;NO_TR
kategorie;categories;NO_TR;NO_TR
sentyment;sentiment;NO_TR;NO_TR
kleopatra;cleopatra;NO_TR;NO_TR
burgundy;burgundy;NO_TR;NO_TR
cicero;Cicero;NO_TR;NO_TR
poćwicz;practice;NO_TR;NO_TR
durną;stupid;NO_TR;NO_TR
pisarka;Writer;NO_TR;NO_TR
pierścionkiem;ring;NO_TR;NO_TR
zgniły;rotten;NO_TR;NO_TR
shana;shana;NO_TR;NO_TR
wrodzone;innate;NO_TR;NO_TR
nieścisłości;inaccuracies;NO_TR;NO_TR
urodzenie;birth;NO_TR;NO_TR
café;café;NO_TR;NO_TR
bystrzak;bright;NO_TR;NO_TR
czarownicami;witches;NO_TR;NO_TR
biurokracji;bureaucracy;NO_TR;NO_TR
sporu;dispute;NO_TR;NO_TR
atakowali;they attacked;NO_TR;NO_TR
kamerach;cameras;NO_TR;NO_TR
komunikatory;communicators;NO_TR;NO_TR
mokrej;wet;NO_TR;NO_TR
doświadczyliśmy;we experienced;NO_TR;NO_TR
nakarmił;fed;NO_TR;NO_TR
bliźniąt;twins;NO_TR;NO_TR
kopnie;kicks;NO_TR;NO_TR
komina;chimney;NO_TR;NO_TR
antykoncepcyjne;contraceptives;NO_TR;NO_TR
przystojnych;handsome;NO_TR;NO_TR
pracami;works;NO_TR;NO_TR
cieżko;hard;NO_TR;NO_TR
samotnością;loneliness;NO_TR;NO_TR
marlboro;marlboro;NO_TR;NO_TR
danvers;danvers;NO_TR;NO_TR
beep;beep;NO_TR;NO_TR
barca;boat;NO_TR;NO_TR
dyktować;dictate;NO_TR;NO_TR
mongo;mongo;NO_TR;NO_TR
melissę;melissa;NO_TR;NO_TR
maniaków;maniacs;NO_TR;NO_TR
usiłujesz;you are trying;NO_TR;NO_TR
poroniła;she had a miscarriage;NO_TR;NO_TR
ogony;tails;NO_TR;NO_TR
wciśniesz;you press;NO_TR;NO_TR
kwasie;acid;NO_TR;NO_TR
poślizgnąłem;I slipped;NO_TR;NO_TR
głuche;deaf;NO_TR;NO_TR
neptuna;neptune;NO_TR;NO_TR
pija;he drinks;NO_TR;NO_TR
polecający;recommending;NO_TR;NO_TR
lange;lange;NO_TR;NO_TR
immunologiczny;immunological;NO_TR;NO_TR
pochodzących;originating;NO_TR;NO_TR
gangsterami;gangsters;NO_TR;NO_TR
toksyna;toxin;NO_TR;NO_TR
kuloodporną;bulletproof;NO_TR;NO_TR
renifery;reindeers;NO_TR;NO_TR
cośtam;something;NO_TR;NO_TR
uznajmy;let's admit;NO_TR;NO_TR
lips;lips;NO_TR;NO_TR
odchodziła;she was leaving;NO_TR;NO_TR
grubasów;fat people;NO_TR;NO_TR
doesn;does;NO_TR;NO_TR
elżbiety;Elizabeth;NO_TR;NO_TR
pokłon;bow;NO_TR;NO_TR
potraktowała;treated;NO_TR;NO_TR
metan;methane;NO_TR;NO_TR
flip;flip;NO_TR;NO_TR
schiller;schiller;NO_TR;NO_TR
orłem;eagle;NO_TR;NO_TR
kida;kid;NO_TR;NO_TR
stłukł;broken;NO_TR;NO_TR
wołasz;you call;NO_TR;NO_TR
mleczna;Milky;NO_TR;NO_TR
błagasz;you beg;NO_TR;NO_TR
samarytanina;samaritan;NO_TR;NO_TR
uniki;dodging;NO_TR;NO_TR
nakarmi;will feed;NO_TR;NO_TR
zostawiony;left;NO_TR;NO_TR
animal;animals;NO_TR;NO_TR
reportażu;reportage;NO_TR;NO_TR
vanity;vanity;NO_TR;NO_TR
odjedź;drive away;NO_TR;NO_TR
oddac;to give back;NO_TR;NO_TR
bajeczki;fairy tales;NO_TR;NO_TR
befsztyk;steak;NO_TR;NO_TR
należności;receivables;NO_TR;NO_TR
zaproszeniu;invitation;NO_TR;NO_TR
złapaniu;caught;NO_TR;NO_TR
wesołą;happy;NO_TR;NO_TR
różdżki;wands;NO_TR;NO_TR
odsunięty;moved away;NO_TR;NO_TR
gapiłeś;you stared;NO_TR;NO_TR
bacon;bacon;NO_TR;NO_TR
zasranego;shitty;NO_TR;NO_TR
ślimaka;snail;NO_TR;NO_TR
telewizorów;TVs;NO_TR;NO_TR
howe;howe;NO_TR;NO_TR
misery;misery;NO_TR;NO_TR
ehm;uhm;NO_TR;NO_TR
larrego;larry;NO_TR;NO_TR
leni;lazy;NO_TR;NO_TR
cudzego;someone else's;NO_TR;NO_TR
żebrać;gather;NO_TR;NO_TR
błyski;flashes;NO_TR;NO_TR
powstrzymywał;held back;NO_TR;NO_TR
vanessę;vanessa;NO_TR;NO_TR
kwadratowe;square;NO_TR;NO_TR
separacja;separation;NO_TR;NO_TR
grami;games;NO_TR;NO_TR
odczytuję;I read;NO_TR;NO_TR
odbijają;reflect;NO_TR;NO_TR
wystrzelenia;launches;NO_TR;NO_TR
całowaliście;you kissed;NO_TR;NO_TR
wydawałaś;you seemed;NO_TR;NO_TR
potężniejsza;more powerful;NO_TR;NO_TR
przyrodnim;stepbrother;NO_TR;NO_TR
wyjaśniłam;I explained;NO_TR;NO_TR
traumy;trauma;NO_TR;NO_TR
towarzyskim;sociable;NO_TR;NO_TR
woodrow;woodrow;NO_TR;NO_TR
bip;beep;NO_TR;NO_TR
internacie;boarding school;NO_TR;NO_TR
żywił;nourished;NO_TR;NO_TR
mieczu;sword;NO_TR;NO_TR
żądał;he demanded;NO_TR;NO_TR
chodnika;sidewalk;NO_TR;NO_TR
wnioskując;inferring;NO_TR;NO_TR
uchodzić;pass;NO_TR;NO_TR
zrzuciłem;I dropped;NO_TR;NO_TR
skeczu;sketch;NO_TR;NO_TR
reklamowy;advertising;NO_TR;NO_TR
eight;eight;NO_TR;NO_TR
delikatnych;delicate;NO_TR;NO_TR
dupcię;ass;NO_TR;NO_TR
carmela;caramel;NO_TR;NO_TR
potrąciłem;I hit;NO_TR;NO_TR
wicked;wicked;NO_TR;NO_TR
ciasnej;tight;NO_TR;NO_TR
cudny;wonderful;NO_TR;NO_TR
przyszedłbym;I would come;NO_TR;NO_TR
przewożą;they carry;NO_TR;NO_TR
denat;deceased;NO_TR;NO_TR
turystą;tourist;NO_TR;NO_TR
proponują;they propose;NO_TR;NO_TR
bojowników;fighters;NO_TR;NO_TR
karaiby;caribbean;NO_TR;NO_TR
zerżnął;he fucked;NO_TR;NO_TR
jabłkiem;apple;NO_TR;NO_TR
gęsty;dense;NO_TR;NO_TR
simpsonów;the simpsons;NO_TR;NO_TR
bezludnej;deserted;NO_TR;NO_TR
zechciałaby;would like;NO_TR;NO_TR
cykor;chicory;NO_TR;NO_TR
caitlyn;caitlyn;NO_TR;NO_TR
philadelphia;philadelphia;NO_TR;NO_TR
skraść;steal;NO_TR;NO_TR
mleczne;dairy;NO_TR;NO_TR
delikatni;gentle;NO_TR;NO_TR
oddajmy;let's give back;NO_TR;NO_TR
londynem;London;NO_TR;NO_TR
zwinąłem;rolled up;NO_TR;NO_TR
laurze;laurels;NO_TR;NO_TR
chopper;chopper;NO_TR;NO_TR
potańcówka;dance;NO_TR;NO_TR
wyzywa;challenges;NO_TR;NO_TR
blaire;blair;NO_TR;NO_TR
coreen;coreen;NO_TR;NO_TR
kijek;stick;NO_TR;NO_TR
mechaniki;mechanics;NO_TR;NO_TR
rozchorował;got sick;NO_TR;NO_TR
okruszki;crumbs;NO_TR;NO_TR
krokami;steps;NO_TR;NO_TR
zmiażdży;will crush;NO_TR;NO_TR
rossem;ross;NO_TR;NO_TR
zadbałem;I took care;NO_TR;NO_TR
wyskakiwać;jump out;NO_TR;NO_TR
traktowałeś;you treated;NO_TR;NO_TR
anonimowi;anonymous;NO_TR;NO_TR
zastąpią;will replace;NO_TR;NO_TR
wenecja;Venice;NO_TR;NO_TR
łzę;a tear;NO_TR;NO_TR
kanadyjczycy;Canadians;NO_TR;NO_TR
sztabów;staffs;NO_TR;NO_TR
germain;germain;NO_TR;NO_TR
pasza;forage;NO_TR;NO_TR
uratowane;saved;NO_TR;NO_TR
zauważę;I will notice;NO_TR;NO_TR
zwal;down;NO_TR;NO_TR
założona;established;NO_TR;NO_TR
ćwoku;chop;NO_TR;NO_TR
hity;hits;NO_TR;NO_TR
kolońską;cologne;NO_TR;NO_TR
jeżdżenie;driving;NO_TR;NO_TR
włam;burglary;NO_TR;NO_TR
yosemite;Yosemite;NO_TR;NO_TR
bród;ferry;NO_TR;NO_TR
nowicjuszem;novice;NO_TR;NO_TR
wykrywaczem;detector;NO_TR;NO_TR
